"3D Secure Card Validation","3D Secure Card Validation"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"API Login ID","API Login ID"
"Accepted Currency","Accepted Currency"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Authorize.net","Authorize.net"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email Customer","Email Customer"
"Enabled","Enabled"
"Error in authorizing the payment.","Error in authorizing the payment."
"Error in capturing the payment.","Error in capturing the payment."
"Error in payment gateway.","Error in payment gateway."
"Error in refunding the payment.","Error in refunding the payment."
"Error in retrieving the transaction.","Error in retrieving the transaction."
"Fraud Order Status","Fraud Order Status"
"Gateway error: %s","Gateway error: %s"
"Invalid amount for authorization.","Invalid amount for authorization."
"Invalid transaction ID.","Invalid transaction ID."
"Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>","Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Merchant Login"
"Merchant's Email","Merchant's Email"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Partner","Partner"
"Password","Password"
"Payflow Pro","Payflow Pro"
"Payment Action","Payment Action"
"Payment authorization error.","Payment authorization error."
"Payment authorization transaction has been declined.","Payment authorization transaction has been declined."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Sort Order","Sort Order"
"TENDER","TENDER"
"Test Mode","Test Mode"
"Title","Title"
"Transaction Key","Transaction Key"
"URL","URL"
"Use Proxy","Use Proxy"
"User","User"
"VERBOSITY","VERBOSITY"
"Voided transaction.","Voided transaction."
